,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice
11NPSWRD_WQX-NCRN_ANTI_ANCR,0,0.39,0.11,0,0.3,0.01,0.18,0,0
11NPSWRD_WQX-NCRN_ANTI_SHCK,0,0.2,0.24,0,0.18,0.01,0.38,0,0
11NPSWRD_WQX-NCRN_CATO_BGHC,0.01,0.91,0.04,0,0.02,0,0.02,0,0
11NPSWRD_WQX-NCRN_CATO_OWCK,0,0.9,0.06,0,0.02,0,0.02,0,0
11NPSWRD_WQX-NCRN_CATO_WHST,0,1,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_GWMP_DIRU,0.01,0.54,0.01,0,0,0,0.44,0,0
11NPSWRD_WQX-NCRN_GWMP_DORU,0,0.47,0.02,0,0,0,0.51,0,0
11NPSWRD_WQX-NCRN_GWMP_GUBR,0,0.22,0,0,0,0,0.77,0,0
11NPSWRD_WQX-NCRN_GWMP_MICR,0,0.2,0,0,0,0,0.8,0,0
11NPSWRD_WQX-NCRN_GWMP_MIRU,0,0.99,0,0,0,0,0.01,0,0
11NPSWRD_WQX-NCRN_GWMP_PIRU,0,0.22,0,0,0,0,0.78,0,0
11NPSWRD_WQX-NCRN_GWMP_TURU,0,0.63,0,0,0,0,0.36,0,0
11NPSWRD_WQX-NCRN_HAFE_FLSP,0.02,0.31,0.1,0,0.27,0.01,0.28,0.01,0
11NPSWRD_WQX-NCRN_MANA_CHBR,0,0.65,0.24,0,0,0,0.1,0,0
11NPSWRD_WQX-NCRN_MANA_DOBR,0,0.75,0.21,0,0,0,0.03,0,0
11NPSWRD_WQX-NCRN_MANA_HOBR,0.02,0.46,0.08,0,0,0.01,0.43,0.01,0
11NPSWRD_WQX-NCRN_MANA_YOBR,0,0.64,0.27,0,0,0,0.08,0,0
11NPSWRD_WQX-NCRN_MONO_BUCK,0,0.56,0.13,0,0.14,0,0.16,0,0
11NPSWRD_WQX-NCRN_MONO_GAMI,0,0.5,0.1,0,0.21,0,0.2,0,0
11NPSWRD_WQX-NCRN_MONO_HARU,0,0.36,0.07,0,0.55,0,0.02,0,0
11NPSWRD_WQX-NCRN_NACE_ACCK,0,1,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_NACE_FTDU,0,0.85,0,0,0,0,0.15,0,0
11NPSWRD_WQX-NCRN_NACE_HECR,0,0.26,0.09,0,0,0,0.57,0.04,0
11NPSWRD_WQX-NCRN_NACE_OXRU,0,0.25,0.02,0,0,0,0.72,0,0
11NPSWRD_WQX-NCRN_NACE_STCK,0.01,0.62,0.01,0,0,0,0.36,0,0
11NPSWRD_WQX-NCRN_PRWI_BONE,0,1,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_CARU,0,0.99,0,0,0,0,0.01,0,0
11NPSWRD_WQX-NCRN_PRWI_MARU,0,1,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_MBBR,0,1,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_MBCH,0,0.99,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_NFQC,0,0.98,0,0,0,0,0.02,0,0
11NPSWRD_WQX-NCRN_PRWI_NOBR,0,0.98,0.01,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_NOCH,0,1,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_ORRU,0,0.97,0,0,0,0,0.03,0,0
11NPSWRD_WQX-NCRN_PRWI_QUCR,0,0.98,0,0,0,0,0.02,0,0
11NPSWRD_WQX-NCRN_PRWI_SFQC,0,0.98,0,0,0,0,0.01,0,0
11NPSWRD_WQX-NCRN_PRWI_SFQR,0,0.98,0,0,0,0,0.01,0,0
11NPSWRD_WQX-NCRN_PRWI_SORU,0,1,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_TARU,0,1,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_ROCR_BAKE,0,0.48,0,0,0,0,0.52,0,0
11NPSWRD_WQX-NCRN_ROCR_BRBR,0,0.22,0,0,0,0,0.77,0,0
11NPSWRD_WQX-NCRN_ROCR_DUOA,0,0.37,0.01,0,0,0,0.62,0,0
11NPSWRD_WQX-NCRN_ROCR_EGWA,0.01,0.36,0.03,0,0,0,0.6,0,0
11NPSWRD_WQX-NCRN_ROCR_FEBR,0,0.05,0,0,0,0,0.95,0,0
11NPSWRD_WQX-NCRN_ROCR_HACR,0,0.29,0,0,0,0,0.7,0,0
11NPSWRD_WQX-NCRN_ROCR_KLVA,0,0.27,0,0,0,0,0.73,0,0
11NPSWRD_WQX-NCRN_ROCR_LUBR,0,0.09,0.01,0,0,0,0.9,0,0
11NPSWRD_WQX-NCRN_ROCR_NOST,0.01,0.24,0,0,0,0,0.75,0,0
11NPSWRD_WQX-NCRN_ROCR_PHBR,0,0.32,0,0,0,0,0.68,0,0
11NPSWRD_WQX-NCRN_ROCR_PYBR,0,0.07,0,0,0,0,0.93,0,0
11NPSWRD_WQX-NCRN_ROCR_ROC3,0.01,0.34,0.03,0,0,0,0.62,0,0
11NPSWRD_WQX-NCRN_ROCR_ROCR,0.01,0.38,0.03,0,0.01,0,0.57,0,0
11NPSWRD_WQX-NCRN_ROCR_SVPS,0,0.17,0,0,0,0,0.83,0,0
11NPSWRD_WQX-NCRN_WOTR_CHCK,0.01,0.25,0,0,0,0,0.73,0.01,0
11NPSWRD_WQX-NCRN_WOTR_WOTR,0.01,0.26,0,0,0,0,0.72,0.01,0
