Site,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice
11NPSWRD_WQX-NCRN_ANTI_SHCK,0,20,24,0,18,1,38,0,0
11NPSWRD_WQX-NCRN_CATO_BGHC,1,91,4,0,2,0,2,0,0
11NPSWRD_WQX-NCRN_CATO_OWCK,0,90,6,0,2,0,2,0,0
11NPSWRD_WQX-NCRN_CATO_WHST,0,100,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_GWMP_MICR,0,20,0,0,0,0,80,0,0
11NPSWRD_WQX-NCRN_GWMP_MIRU,0,99,0,0,0,0,1,0,0
11NPSWRD_WQX-NCRN_GWMP_PIRU,0,22,0,0,0,0,78,0,0
11NPSWRD_WQX-NCRN_GWMP_TURU,0,63,0,0,0,0,36,0,0
11NPSWRD_WQX-NCRN_HAFE_FLSP,2,31,10,0,27,1,28,1,0
11NPSWRD_WQX-NCRN_MANA_YOBR,0,64,27,0,0,0,8,0,0
11NPSWRD_WQX-NCRN_MONO_BUCK,0,56,13,0,14,0,16,0,0
11NPSWRD_WQX-NCRN_MONO_GAMI,0,50,10,0,21,0,20,0,0
11NPSWRD_WQX-NCRN_NACE_HECR,0,26,9,0,0,0,57,4,0
11NPSWRD_WQX-NCRN_NACE_OXRU,0,25,2,0,0,0,72,0,0
11NPSWRD_WQX-NCRN_NACE_STCK,1,62,1,0,0,0,36,0,0
11NPSWRD_WQX-NCRN_PRWI_CARU,0,99,0,0,0,0,1,0,0
11NPSWRD_WQX-NCRN_PRWI_MARU,0,100,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_MBBR,0,100,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_NFQC,0,98,0,0,0,0,2,0,0
11NPSWRD_WQX-NCRN_PRWI_ORRU,0,97,0,0,0,0,3,0,0
11NPSWRD_WQX-NCRN_PRWI_SFQC,0,98,0,0,0,0,1,0,0
11NPSWRD_WQX-NCRN_PRWI_SORU,0,100,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_PRWI_TARU,0,100,0,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_ROCR_BAKE,0,48,0,0,0,0,52,0,0
11NPSWRD_WQX-NCRN_ROCR_BRBR,0,22,0,0,0,0,77,0,0
11NPSWRD_WQX-NCRN_ROCR_DUOA,0,37,1,0,0,0,62,0,0
11NPSWRD_WQX-NCRN_ROCR_FEBR,0,5,0,0,0,0,95,0,0
11NPSWRD_WQX-NCRN_ROCR_HACR,0,29,0,0,0,0,70,0,0
11NPSWRD_WQX-NCRN_ROCR_KLVA,0,27,0,0,0,0,73,0,0
11NPSWRD_WQX-NCRN_ROCR_LUBR,0,9,1,0,0,0,90,0,0
11NPSWRD_WQX-NCRN_ROCR_NOST,1,24,0,0,0,0,75,0,0
11NPSWRD_WQX-NCRN_ROCR_PHBR,0,32,0,0,0,0,68,0,0
11NPSWRD_WQX-NCRN_ROCR_PYBR,0,7,0,0,0,0,93,0,0
11NPSWRD_WQX-NCRN_ROCR_ROC3,1,34,3,0,0,0,62,0,0
11NPSWRD_WQX-NCRN_ROCR_SVPS,0,17,0,0,0,0,83,0,0
11NPSWRD_WQX-NCRN_WOTR_CHCK,1,25,0,0,0,0,73,1,0
11NPSWRD_WQX-NCRN_WOTR_WOTR,1,26,0,0,0,0,72,1,0
